"Raw_Param","Readable_Name","Type","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"attributenodes[1, 1]","724526 - Theta","Student Mastery",-0.17279880652884,0.844084810752555,-1.91912248876748,-0.131740528413206,1.51169920942495,1,1118
"attributenodes[2, 1]","617078 - Theta","Student Mastery",-0.0766621025217946,0.697093084582779,-1.59544467605217,-0.0570499267881113,1.29674906220375,1,1488
"attributenodes[3, 1]","292110 - Theta","Student Mastery",-0.172936970312492,0.637717499487708,-1.68692514358803,-0.115793156106224,0.955145641200651,1,1555
"attributenodes[4, 1]","553106 - Theta","Student Mastery",-0.816237293761408,0.667660640837631,-2.30938978804007,-0.726042939249113,0.276155923397727,1,1874
"attributenodes[5, 1]","607015 - Theta","Student Mastery",1.02242354039891,0.662322560920987,-0.087471072031448,0.969163998991944,2.50740969261457,1,3580
"attributenodes[6, 1]","845259 - Theta","Student Mastery",-0.103752711460197,0.547929417090352,-1.27200082297495,-0.0861219342031855,0.917693623423928,1,2063
"attributenodes[7, 1]","100955 - Theta","Student Mastery",-1.20745123469755,0.608936515279012,-2.57626179157896,-1.14166231805346,-0.192980237079131,1,3487
"attributenodes[8, 1]","161584 - Theta","Student Mastery",1.03262324265481,0.664807236782776,-0.0919209447682781,0.981189178313375,2.48760193003646,1,3879
"attributenodes[9, 1]","174131 - Theta","Student Mastery",-0.553057170845576,0.588716937598657,-1.77321632092092,-0.532378158338415,0.588628017772558,1,1899
"attributenodes[10, 1]","390016 - Theta","Student Mastery",0.570802841069431,0.565236294222451,-0.428123182869093,0.526382311609262,1.77931707462026,1,3400
"attributenodes[11, 1]","285940 - Theta","Student Mastery",-0.709435138207423,0.66445208763005,-2.20136882119716,-0.639349822445053,0.424337435334374,1,1739
"attributenodes[12, 1]","801006 - Theta","Student Mastery",0.735591698011147,0.6383316198445,-0.35035143755769,0.678487020979752,2.13002736000743,1,3096
