"Model","Phase","WAIC","pWAIC","Profile_Accuracy"
"IRT","Calibration",15066.9181438619,442.684980317126,NA
"IRT","Scoring",15081.9235463178,392.274643254859,NA
"DCM","Calibration",14730.6220968336,962.40639369141,0.525252525252525
"DCM","Scoring",14857.7226484407,919.411780775988,0.509090909090909
"AH-DCM","Calibration",14564.0510679182,807.892169008125,0.58989898989899
"AH-DCM","Scoring",15079.1386747244,808.90944990234,0.57979797979798
"HO-DCM","Calibration",14560.8409471699,787.941658433483,0.62020202020202
"HO-DCM","Scoring",15206.8702061012,869.57325744802,0.446464646464646
