"Raw_Param","Readable_Name","Type","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"attributenodes[1, 1]","724526 - Theta","Student Mastery",-0.0261526182738712,0.396686504414014,-0.801605305177023,-0.0345380527637257,0.767799037091501,1,3572
"attributenodes[2, 1]","617078 - Theta","Student Mastery",-0.184271838458968,0.397764184260483,-0.978500939017776,-0.18094691932956,0.59778305355511,1,3890
"attributenodes[3, 1]","292110 - Theta","Student Mastery",-0.416393662059503,0.406277975201248,-1.20341666026399,-0.41927887994199,0.392754198231876,1.01,3853
"attributenodes[4, 1]","553106 - Theta","Student Mastery",-0.806203025296582,0.440113627879242,-1.71156827317236,-0.796447075391052,0.0139928879250812,1.01,3886
"attributenodes[5, 1]","607015 - Theta","Student Mastery",0.98473001667111,0.459610011138164,0.116572769514276,0.973325689192749,1.95401309247627,1,3705
"attributenodes[6, 1]","845259 - Theta","Student Mastery",-0.343952764991534,0.405157678647471,-1.1671202867093,-0.340325282999902,0.424681595983962,1,3792
"attributenodes[7, 1]","100955 - Theta","Student Mastery",-1.64325967882456,0.535728421778191,-2.77580694394255,-1.60943452074798,-0.688794497841522,1,3987
"attributenodes[8, 1]","161584 - Theta","Student Mastery",1.83704984729298,0.537649430960494,0.820446327586791,1.82361124689403,2.94178165447286,1,3636
"attributenodes[9, 1]","174131 - Theta","Student Mastery",-0.19370372030725,0.41192883397636,-1.01501486429532,-0.188172153510232,0.594092978001855,1,3341
"attributenodes[10, 1]","390016 - Theta","Student Mastery",0.296697317769664,0.411005547010317,-0.48905323491815,0.300001296177056,1.11010870598773,1,3707
"attributenodes[11, 1]","285940 - Theta","Student Mastery",-1.00086773748314,0.445444616335498,-1.9191299725728,-0.987896734781714,-0.162448288481234,1,3926
"attributenodes[12, 1]","801006 - Theta","Student Mastery",0.866048246507146,0.433148822044378,0.0695820189147109,0.843769731185712,1.76364984024122,1,3650
"attributenodes[13, 1]","308588 - Theta","Student Mastery",0.771371664392005,0.429158760261189,-0.0484917885027729,0.763953572103377,1.63852010087656,1,3866
"attributenodes[14, 1]","850648 - Theta","Student Mastery",-1.11790125191544,0.462266277258223,-2.07998317068032,-1.10562109101891,-0.25127170730533,1,3668
"attributenodes[15, 1]","842958 - Theta","Student Mastery",-1.68586297113223,0.540046491232131,-2.79108144700818,-1.65372365694384,-0.702414859189097,1,3724
"attributenodes[16, 1]","906079 - Theta","Student Mastery",-0.788619568351409,0.430774831941484,-1.67454583825893,-0.780549975720235,0.0348802749510669,1,4015
"attributenodes[17, 1]","077015 - Theta","Student Mastery",0.840256995496182,0.43932032101439,0.0181732261773542,0.829263263203306,1.7495676448183,1.01,3936
"attributenodes[18, 1]","358534 - Theta","Student Mastery",-1.07413339968645,0.466773746357634,-2.04774527569675,-1.05208984648932,-0.201731534673459,1,3750
"attributenodes[19, 1]","101745 - Theta","Student Mastery",0.372011418145406,0.405222851371357,-0.391906564884481,0.360381750080228,1.21055223563209,1,3572
"attributenodes[20, 1]","872949 - Theta","Student Mastery",0.762354910124805,0.439352014023619,-0.0516832804205384,0.754254802344356,1.63762715124341,1,3829
"attributenodes[21, 1]","898952 - Theta","Student Mastery",0.80773339195503,0.430936960180021,-0.000272005777517953,0.793126424716842,1.69139064503961,1,4062
"attributenodes[22, 1]","947453 - Theta","Student Mastery",-1.10617423414244,0.454875833520611,-2.0402180294922,-1.10130384787128,-0.245113886052046,1,4005
"attributenodes[23, 1]","399427 - Theta","Student Mastery",0.857616708892076,0.438745425091235,0.0477046298479824,0.846729617366982,1.74601180806649,1,3928
"attributenodes[24, 1]","888595 - Theta","Student Mastery",-1.87352541656125,0.558530750781616,-3.04137759549448,-1.84569191959706,-0.858493271566538,1,3934
"attributenodes[25, 1]","288787 - Theta","Student Mastery",-1.67062370244642,0.530134013458758,-2.76827113942237,-1.65684645421737,-0.673468028779542,1,3991
"attributenodes[26, 1]","367447 - Theta","Student Mastery",-0.651261970923659,0.415930084858273,-1.49361857709161,-0.65176253101767,0.148322730947391,1,4010
"attributenodes[27, 1]","517534 - Theta","Student Mastery",0.257206402472852,0.402326701427328,-0.509994083730175,0.251743819315606,1.06427909948797,1,3980
"attributenodes[28, 1]","306309 - Theta","Student Mastery",-0.774773177326776,0.435105261590294,-1.67467965279993,-0.760618217510229,0.0587541954959506,1.01,3880
"attributenodes[29, 1]","221042 - Theta","Student Mastery",0.485147028289155,0.419857512972064,-0.311679505648239,0.479562267270274,1.33519900590415,1,3791
"attributenodes[30, 1]","801662 - Theta","Student Mastery",0.233156252970732,0.404500278042545,-0.567269724857745,0.227733626292388,1.03818439539515,1.01,3840
"attributenodes[31, 1]","036470 - Theta","Student Mastery",-1.34953359999285,0.499275954083271,-2.39899268866146,-1.32287369635829,-0.440577058883398,1,3361
"attributenodes[32, 1]","960072 - Theta","Student Mastery",0.0267205139022883,0.412368512851314,-0.78388730194477,0.0262412186422107,0.838253867177415,1,3663
"attributenodes[33, 1]","258908 - Theta","Student Mastery",1.33853734838829,0.475142922420156,0.458231592348,1.31753322931562,2.3087751375177,1,3732
"attributenodes[34, 1]","474486 - Theta","Student Mastery",0.732102038863763,0.430744811031099,-0.0781775337248865,0.719388864561553,1.62863010948992,1,3513
"attributenodes[35, 1]","550082 - Theta","Student Mastery",-1.78078347932381,0.555470570271925,-2.95044967196768,-1.74847797906856,-0.789105527244255,1,4070
"attributenodes[36, 1]","312511 - Theta","Student Mastery",-0.0628580627580886,0.403055074613631,-0.869175052664134,-0.0611480646094516,0.728766342880372,1,3651
"attributenodes[37, 1]","595730 - Theta","Student Mastery",-0.0799036680299293,0.404062918967964,-0.87999686159001,-0.073202148950999,0.720922562982389,1,3512
"attributenodes[38, 1]","771260 - Theta","Student Mastery",-0.195037579535943,0.40529037883113,-1.00691399691448,-0.190990751786935,0.589841092692755,1,3685
"attributenodes[39, 1]","822095 - Theta","Student Mastery",0.904655020890164,0.440131655770537,0.0908735488482584,0.893359274823795,1.78404191938379,1,3889
"attributenodes[40, 1]","170908 - Theta","Student Mastery",1.0311803589644,0.459111647536134,0.14391029600674,1.02490799302504,1.96127227742267,1,3739
"attributenodes[41, 1]","252814 - Theta","Student Mastery",-0.02726080765642,0.398994366504568,-0.832084520060308,-0.0259756075765257,0.755854531679746,1,3771
"attributenodes[42, 1]","215263 - Theta","Student Mastery",0.587651889786895,0.424307809599883,-0.242061499172924,0.582794948161995,1.44748907167916,1,3761
"attributenodes[43, 1]","432310 - Theta","Student Mastery",-0.222300579454342,0.401197181270055,-0.983208174216174,-0.219371157392707,0.544866778108605,1,3835
"attributenodes[44, 1]","864107 - Theta","Student Mastery",1.42103900359195,0.49153402056958,0.507066411199444,1.40871763634489,2.43073437850711,1,4368
"attributenodes[45, 1]","229991 - Theta","Student Mastery",0.851652244234481,0.441546647056557,0.0241344971616458,0.832364705394099,1.76020747831241,1,3717
"attributenodes[46, 1]","127666 - Theta","Student Mastery",0.723314944734122,0.427837974482553,-0.0759124264822641,0.71294464010707,1.5982098610904,1,3857
"attributenodes[47, 1]","196972 - Theta","Student Mastery",-0.72799805699062,0.429474886838211,-1.60070425378796,-0.724411631738439,0.0898938199181192,1,3542
"attributenodes[48, 1]","486189 - Theta","Student Mastery",0.818061051436369,0.434325581256474,-0.00892026704538887,0.80407920182485,1.70329257951486,1,3802
"attributenodes[49, 1]","347425 - Theta","Student Mastery",1.0622855515886,0.451874435352486,0.209907607501326,1.05543241428973,1.98169212318643,1,4071
"attributenodes[50, 1]","735415 - Theta","Student Mastery",-2.1198329220683,0.616352274717569,-3.40929015498551,-2.09713993929682,-1.01438416752583,1,3786
"attributenodes[51, 1]","494056 - Theta","Student Mastery",-0.214832795931229,0.403159505380214,-1.01306492386739,-0.208692962516521,0.58891182595155,1,3894
"attributenodes[52, 1]","825489 - Theta","Student Mastery",-0.939488739758514,0.439602524140737,-1.83311336681461,-0.935085079285596,-0.106452099780581,1,3560
"attributenodes[53, 1]","405844 - Theta","Student Mastery",-0.491252910070874,0.420169213953418,-1.33917900603175,-0.486349607850173,0.317239474480033,1,3785
"attributenodes[54, 1]","303219 - Theta","Student Mastery",-0.54272541163689,0.414072130446494,-1.39561501759438,-0.533314628142377,0.248877266022395,1,4038
"attributenodes[55, 1]","961425 - Theta","Student Mastery",-0.756780983936139,0.434720282543759,-1.6399453947797,-0.747615180493007,0.0602547386937881,1,4015
"attributenodes[56, 1]","094901 - Theta","Student Mastery",-0.403787364416078,0.416907606095046,-1.23776801213353,-0.39589481208112,0.400690005520022,1,3459
"attributenodes[57, 1]","326374 - Theta","Student Mastery",0.333020372315044,0.408543622892997,-0.459284713484508,0.328858668852194,1.15550267048304,1.01,3886
"attributenodes[58, 1]","229376 - Theta","Student Mastery",1.18134008131169,0.469031761260579,0.288021019594415,1.16701405118097,2.1485471340399,1,3949
"attributenodes[59, 1]","153261 - Theta","Student Mastery",0.0855719643259195,0.400564734612649,-0.690422862818491,0.0793041717751705,0.869707166183765,1,3854
"attributenodes[60, 1]","570751 - Theta","Student Mastery",-0.805295970636401,0.424960028247059,-1.68488795211021,-0.793344269456189,-0.0109846105534649,1,4076
"attributenodes[61, 1]","316224 - Theta","Student Mastery",-0.102346848008907,0.397828601495114,-0.88655873827721,-0.0936614121170919,0.679645753044257,1,3784
"attributenodes[62, 1]","359550 - Theta","Student Mastery",-0.946246872634748,0.438939012972667,-1.83002843202006,-0.92914337072693,-0.108200517152379,1,3923
"attributenodes[63, 1]","780014 - Theta","Student Mastery",-0.258054797410967,0.412845279853284,-1.08255335148738,-0.251681154272823,0.533579707906505,1,3546
"attributenodes[64, 1]","634134 - Theta","Student Mastery",-0.661010330116103,0.423623533937992,-1.53647401635107,-0.642333785108109,0.13201805016733,1,3756
"attributenodes[65, 1]","392725 - Theta","Student Mastery",0.112945128794202,0.408314571714791,-0.68702109085648,0.112078083966402,0.920609800695646,1,3530
"attributenodes[66, 1]","189354 - Theta","Student Mastery",0.126785897257264,0.398285714076435,-0.655732804244012,0.129156873256623,0.923966954121533,1,3806
"attributenodes[67, 1]","954748 - Theta","Student Mastery",-0.69648144416938,0.432185314901473,-1.57935754733323,-0.687607046583204,0.114240914285929,1,3645
"attributenodes[68, 1]","949913 - Theta","Student Mastery",0.622789982533602,0.425469164204763,-0.176129411493692,0.60677941083834,1.48035680752371,1,3747
"attributenodes[69, 1]","499838 - Theta","Student Mastery",-1.0605472184795,0.459692699391118,-2.00454406788167,-1.05261165788613,-0.197261578085386,1,3570
"attributenodes[70, 1]","674096 - Theta","Student Mastery",0.443324522995601,0.410826049358888,-0.342207588612171,0.437370479129767,1.26629259427996,1.01,3840
"attributenodes[71, 1]","096699 - Theta","Student Mastery",0.327267262875941,0.410670885553176,-0.465665794046401,0.324567093761761,1.12679327716198,1,3735
"attributenodes[72, 1]","596803 - Theta","Student Mastery",-1.0021405989911,0.448501351661995,-1.95610586149348,-0.984707200840545,-0.181368790032935,1,3878
"attributenodes[73, 1]","032129 - Theta","Student Mastery",-0.928122169552903,0.444470965752499,-1.84458421511943,-0.912395789416476,-0.0815698490030987,1,3593
"attributenodes[74, 1]","578216 - Theta","Student Mastery",-0.446451746839467,0.408058884803584,-1.27412422546835,-0.448814880704411,0.33395589424982,1,3980
"attributenodes[75, 1]","922849 - Theta","Student Mastery",-0.1605493836756,0.402006236363868,-0.953885945151517,-0.167395098235065,0.619605319177855,1,3548
"attributenodes[76, 1]","570200 - Theta","Student Mastery",-0.641490641586008,0.41615633962512,-1.49037346613342,-0.632312832063908,0.141519720667728,1,3769
"attributenodes[77, 1]","717808 - Theta","Student Mastery",-0.739569217012222,0.433634382816808,-1.62417231195286,-0.722670752848726,0.070232833464266,1,3867
"attributenodes[78, 1]","370275 - Theta","Student Mastery",-0.521867671217172,0.421735578689693,-1.36911966488648,-0.51804964658319,0.280669651805695,1,3676
"attributenodes[79, 1]","801313 - Theta","Student Mastery",-1.37900113800067,0.502852497987938,-2.41804780541917,-1.35611450828741,-0.451817006672651,1,3766
"attributenodes[80, 1]","003128 - Theta","Student Mastery",1.12824705361584,0.460914966407093,0.280493657186603,1.11958839359187,2.06884946713013,1,4049
"attributenodes[81, 1]","947334 - Theta","Student Mastery",0.131478213582816,0.405948162403133,-0.654959893674424,0.131314778650624,0.916084335969764,1,3467
"attributenodes[82, 1]","758331 - Theta","Student Mastery",-0.77021118794349,0.430599429394462,-1.66827225041594,-0.758924536877247,0.0320180198254832,1,3907
"attributenodes[83, 1]","265887 - Theta","Student Mastery",-0.30848756976745,0.404310828597665,-1.09668294072538,-0.305479965302841,0.48289965212779,1,3725
"attributenodes[84, 1]","857049 - Theta","Student Mastery",-0.179780590611973,0.40012904131435,-0.984752518625415,-0.181811053066522,0.596656697055612,1,4085
"attributenodes[85, 1]","427361 - Theta","Student Mastery",0.77294981594095,0.428425153064659,-0.0490433864941219,0.77454248215268,1.63323353647381,1,4039
"attributenodes[86, 1]","344202 - Theta","Student Mastery",1.31477746730919,0.47911332690757,0.41557671153016,1.30462657931875,2.29462216755362,1,4151
"attributenodes[87, 1]","571520 - Theta","Student Mastery",-1.84157673253499,0.563770642570053,-3.0108955439095,-1.81598020346745,-0.810525687962215,1,3761
"attributenodes[88, 1]","965148 - Theta","Student Mastery",0.222872274657275,0.401599160526338,-0.588660903964044,0.226176846625737,1.03865681794915,1,3970
"attributenodes[89, 1]","756269 - Theta","Student Mastery",-0.630027480843421,0.422865741547404,-1.49957543882722,-0.612979723002767,0.162814642372426,1,3808
"attributenodes[90, 1]","176072 - Theta","Student Mastery",0.529757415492559,0.418837312613849,-0.248112372259809,0.516964351908756,1.36388299310573,1,3782
"attributenodes[91, 1]","783834 - Theta","Student Mastery",0.600786177737405,0.427640459758175,-0.196761054942598,0.579852677416323,1.49086921184173,1,3941
"attributenodes[92, 1]","258406 - Theta","Student Mastery",0.33991106785631,0.407107070357401,-0.443209029645198,0.331529616427205,1.14575637343506,1,3448
"attributenodes[93, 1]","270727 - Theta","Student Mastery",-1.58643295381229,0.523599655840825,-2.68638896789205,-1.56647235652893,-0.626943505301185,1,3906
"attributenodes[94, 1]","580370 - Theta","Student Mastery",0.958689943514802,0.458962117921234,0.0869234388905692,0.941675391391547,1.89255731962133,1,3729
"attributenodes[95, 1]","095379 - Theta","Student Mastery",1.38469294319505,0.478912856270521,0.492817461080255,1.36341802839924,2.35586837974962,1,4077
"attributenodes[96, 1]","854747 - Theta","Student Mastery",-0.191566798993016,0.399861600483614,-0.997046249532071,-0.190226931773331,0.586363000223601,1,3823
"attributenodes[97, 1]","609267 - Theta","Student Mastery",-0.201773652465978,0.410406961889624,-1.0153545062317,-0.19742965988259,0.576765624227617,1,3710
"attributenodes[98, 1]","790705 - Theta","Student Mastery",0.216916103911623,0.398786793668956,-0.548801399297042,0.207925833407691,1.00745414793339,1,3857
"attributenodes[99, 1]","142401 - Theta","Student Mastery",-0.41004264906477,0.406026327363377,-1.21418604567904,-0.407989049782161,0.392794058905105,1,4023
"attributenodes[100, 1]","449326 - Theta","Student Mastery",-1.51914894938847,0.514879504088983,-2.58159664649024,-1.48400296254159,-0.598928646398779,1,3987
"attributenodes[101, 1]","597654 - Theta","Student Mastery",-0.234120477986772,0.405006008952465,-1.02700619036365,-0.224806318050117,0.551401364496589,1,3837
"attributenodes[102, 1]","782155 - Theta","Student Mastery",0.282196249859639,0.404391664554826,-0.48923507008256,0.268825315400345,1.09427839046829,1.01,3683
"attributenodes[103, 1]","305000 - Theta","Student Mastery",-0.389334345774532,0.402580701019317,-1.19999535716132,-0.385631939993772,0.391816150664005,1.01,3884
"attributenodes[104, 1]","410083 - Theta","Student Mastery",1.0246841590098,0.451243781409527,0.179080066237713,1.01029640350417,1.95441965421271,1,3750
"attributenodes[105, 1]","079971 - Theta","Student Mastery",1.43799823989326,0.497779235394973,0.531818150735369,1.42017346273127,2.49284966602976,1,3892
"attributenodes[106, 1]","947778 - Theta","Student Mastery",-1.02696027523816,0.452424185863903,-1.97827052328922,-1.00723639171113,-0.192407603967899,1,3554
"attributenodes[107, 1]","850616 - Theta","Student Mastery",-0.350834218990214,0.412724512124103,-1.18638837984774,-0.341634589964587,0.436456916800509,1,4022
"attributenodes[108, 1]","404672 - Theta","Student Mastery",0.301398344832994,0.411415276233205,-0.488262348995356,0.294157719628666,1.11445857103203,1,3769
"attributenodes[109, 1]","417112 - Theta","Student Mastery",1.37986807174493,0.487570966268307,0.465728457510627,1.36731298280888,2.39576933333803,1,3713
"attributenodes[110, 1]","915048 - Theta","Student Mastery",0.272806854942042,0.408648276848153,-0.512254534798825,0.27387139232036,1.08275177682566,1,4030
"attributenodes[111, 1]","542098 - Theta","Student Mastery",-0.379949066905505,0.408672824628147,-1.21778999837239,-0.374516929070096,0.404831662086418,1,4104
"attributenodes[112, 1]","665628 - Theta","Student Mastery",0.754223675122233,0.43077230357834,-0.0427953539770929,0.74496371348045,1.64207547698829,1,3798
"attributenodes[113, 1]","591881 - Theta","Student Mastery",0.134781329769187,0.404606950542741,-0.652186387597156,0.133606424780078,0.932835878299742,1,3301
"attributenodes[114, 1]","648827 - Theta","Student Mastery",-0.788135292090017,0.430467519844166,-1.66341217750716,-0.781489266419506,0.0396422623456839,1,3809
"attributenodes[115, 1]","989284 - Theta","Student Mastery",1.33119954570145,0.488941371483853,0.424595061381419,1.31169835379774,2.35779022137067,1,3818
