"","APP","PI","MC","RU"
"298241",0.00899999999999992,0.00837499999999998,0.886375,0.518874999999999
"299130",0.165625,0.0184999999999998,0.889125,0.0216249999999998
"299794",0.999625,0.98725,0.998125,0.985375
"302217",0.117125,0.11225,0.886125,0.9855
"303087",1,0.980125,0.99875,0.99525
"303219",0.0391249999999999,0.0577499999999998,0.164,0.00512500000000005
"304340",0.00850000000000004,0.0232499999999998,0.5855,0.35575
"304750",0.000125000000000009,0.0109999999999999,0.00212500000000004,0.00224999999999995
"305000",0.05775,0.0115000000000001,0.0707500000000002,0.000749999999999979
"305317",0.19175,0.1005,0.575125,0.202875
"306043",0.999375,0.992625,0.97775,0.73025
"306309",0.0113749999999999,0.00824999999999984,0.0595000000000001,0.013875
"307583",0.442249999999999,0.51425,0.8505,0.00200000000000005
"308588",0.99925,0.9855,0.982125,0.365249999999999
"309352",0.46325,0.45075,0.3965,0.048
"310411",0.85225,0.786375,0.166875,0.165750000000001
"312511",0.93925,0.646625,0.273374999999999,0.000875000000000022
"313892",0.00662499999999997,0.0212499999999999,0.9305,0.125625
"315209",0.0127500000000001,0.0103750000000002,0.000374999999999996,0.000374999999999991
"316224",0.0403750000000002,0.0219999999999999,0.60475,0.0353749999999999
"321974",0.992375,0.98375,0.991375,0.483250000000001
"322995",0.025875,0.0499999999999998,0.0987499999999999,0.00512500000000014
"323382",0.916,0.7505,0.98075,0.0495000000000003
"325532",0.431375,0.0409999999999998,0.923625,0.0031250000000001
"326374",0.927,0.80375,0.960625,0.947125
"327517",0.0176249999999998,0.0499999999999997,0.00175000000000004,0.000624999999999991
"327825",0.8275,0.333875,0.9965,0.966
"328916",0.00125000000000002,0.00137500000000005,0.72675,0.02275
"332855",0.982625,0.936125,0.62375,0.0202500000000001
"333625",0.137125000000001,0.1235,0.983375,0.983375
"338247",0.966625,0.568125,0.9665,0.11875
"338553",0.0416250000000002,0.0108749999999998,0.771,0.173999999999998
"340251",0.0427500000000001,0.00537500000000007,0.597375,0.000500000000000024
"342329",0.96025,0.931,0.9915,0.9835
"342406",0.682875,0.57875,0.967875,0.0714999999999998
"344202",0.9995,0.996625,0.9935,0.84125
"344652",0.999375,0.919625,0.98225,0.931625
"347425",0.99875,0.967875,0.99075,0.871875
"350690",0.00149999999999998,0.00237500000000004,0.23175,0.00887500000000006
"351668",1,0.964875,0.99875,0.998625
"351710",0.99875,0.96525,0.98775,0.99975
"352024",0.597,0.560125,0.38125,0.0581249999999998
"352599",0.964875,0.994875,0.870875,0.966
"353023",0.000250000000000015,0.00324999999999998,0.0286250000000001,0.000250000000000015
