Source,Target
APP,PI
APP,MC
PI,RU
MC,RU
RU,1
RU,4
RU,5
RU,7
RU,9
RU,11
RU,12
RU,16
RU,21
RU,14
RU,18
PI,14
PI,17
PI,18
PI,22
APP,3
APP,6
APP,15b
APP,15c
APP,10b
APP,10c
APP,13
APP,15a
MC,2
MC,8a
MC,8b
MC,8c
MC,8d
MC,10a
